20,20
-1,-1,-1
69
L,4,15,3,7
G,17,18,0,0
L,3,15,3,7
G,8,10,0,0
G,6,10,0,0
M,5,18,0,0
G,16,18,0,0
M,13,6,0,0
M,8,4,0,0
M,7,5,0,0
J,8,17,99,0
T,18,4,0,0
J,8,15,99,0
J,2,16,99,0
J,1,18,99,0
J,8,1,99,0
J,9,17,99,0
J,17,2,99,0
J,3,1,99,0
J,1,15,99,0
J,19,12,99,0
J,2,0,99,0
J,1,13,99,0
J,15,2,99,0
J,2,7,99,0
J,9,9,99,0
J,10,6,99,0
J,19,4,99,0
J,7,16,99,0
J,8,3,99,0
J,0,17,99,0
J,13,5,99,0
G,1,16,0,0
G,17,17,0,0
G,7,11,0,0
G,12,19,0,0
G,2,19,0,0
G,13,1,0,0
G,3,0,0,0
G,18,17,0,0
T,10,2,0,0
T,18,11,0,0
T,6,6,0,0
T,18,3,0,0
T,6,16,0,0
T,9,18,0,0
T,2,1,0,0
T,12,6,0,0
M,7,0,0,0
M,8,5,0,0
Z,11,10,2,1
Z,17,3,2,1
Z,0,12,2,1
Z,4,2,2,1
O,10,15,4,4
O,14,8,4,4
O,18,13,4,4
O,4,5,7,4
W,10,4,9,5
W,9,4,9,5
W,18,1,9,5
W,11,14,9,5
L,3,14,3,7
L,6,14,3,7
L,3,15,3,7
L,5,11,3,7
L,3,14,3,7
L,13,10,3,7
L,8,12,3,7
